0613,金,5:00,A,BRA-HRV
0614,土,1:00,A,MEX-CME
0614,土,4:00,B,ESP-NLD
0614,土,7:00,B,CHL-AUS
0615,日,1:00,C,COL-GRC
0615,日,4:00,D,URY-CRI
0615,日,7:00,D,ENG-ITA
0615,日,10:00,C,CIV-JPN
0616,月,1:00,E,CHE-ECU
0616,月,4:00,E,FRA-HND
0616,月,7:00,F,ARG-BIH
0617,火,1:00,G,DEU-PRT
0617,火,4:00,F,IRN-NGA
0617,火,7:00,G,GHA-USA
0618,水,1:00,H,BEL-DZA
0618,水,4:00,A,BRA-MEX
0618,水,7:00,H,RUS-KOR
0619,木,1:00,B,AUS-NLD
0619,木,4:00,B,ESP-CHL
0619,木,7:00,A,CME-HRV
0620,金,1:00,C,COL-CIV
0620,金,4:00,D,URY-ENG
0620,金,7:00,C,JPN-GRC
0621,土,1:00,D,ITA-CRI
0621,土,4:00,E,CHE-FRA
0621,土,7:00,E,HND-ECU
0622,日,1:00,F,ARG-IRN
0622,日,4:00,G,DEU-GHA
0622,日,7:00,F,NGA-BIH
0623,月,1:00,H,BEL-RUS
0623,月,4:00,H,KOR-DZA
0623,月,7:00,G,USA-PRT
0624,火,1:00,B,AUS-ESP
0624,火,1:00,B,NLD-CHL
0624,火,5:00,A,CME-BRA
0624,火,5:00,A,HRV-MEX
0625,水,1:00,D,ITA-URY
0625,水,1:00,D,CRI-ENG
0625,水,5:00,C,JPN-COL
0625,水,5:00,C,GRC-CIV
0626,木,1:00,F,NGA-ARG
0626,木,1:00,F,BIH-IRN
0626,木,5:00,E,HND-CHE
0626,木,5:00,E,ECU-FRA
0627,金,1:00,G,USA-DEU
0627,金,1:00,G,PRT-GHA
0627,金,5:00,H,KOR-BEL
0627,金,5:00,H,DZA-RUS
